season	episode	clip	text	label
S05	E07	476	you don't have to keep pretending to be an employee.	Advise
S04	E16	391	running hard, water bad.	Joke
S04	E12	104	i don't know why you guys lock up the razor blades.	Complain
S05	E02	95	tay-tay and tine-tine: the slut squad.	Joke
S04	E17	294	fantastic. life of the party.	Praise
S05	E09	556	oh, nice, jer!	Praise
S05	E11	256	but i could really use the help.	Ask for help
S05	E07	322	okay, back to work.	Arrange
S05	E11	330	give them a voice, you know?	Advise
S04	E16	494	sandra, code cottontail.	Inform
S04	E03	201	you are the most petty, jealous, and bitter person	Criticize
S05	E07	22	maya!	Greet
S06	E01	246	the ink's starting to turn our butts weird colors.	Complain
S05	E12	170	human equivalent of a band-aid in a salad--	Joke
S04	E02	402	now i'm gonna pass the mic around	Inform
S05	E11	382	what if we call it  the octagon.	Advise
S05	E21	8	close the door.	Arrange
S05	E15	108	hey!	Greet
S05	E16	400	that was so important you needed to read it	Advise
S05	E13	396	hey, randy.	Greet
S05	E11	151	and i need a floor supervisor	Ask for help
S04	E09	29	no, do not even think about paying me for this.	Prevent
S05	E21	110	oh, i don't think it's that.	Oppose
S04	E14	81	but one day, i got it to do 25.	Flaunt
S04	E02	460	i just want to get out of here. how do we get out of here?	Leave
S04	E07	301	why didn't you just shout,  hey glenn	Complain
S06	E01	237	oh, sorry.	Apologise
S05	E07	483	grab a pair of gloves and head over.	Arrange
S04	E04	374	how you doing?	Care
S05	E19	416	i'm starting to reek.	Complain
S05	E09	413	and if you were actually doing the work,  and if you were actually doing the work, you would see how hard it is.	Complain
S04	E13	461	what is wrong with you?	Care
S05	E07	488	i am not doing a latin accent to sell some queso.	Joke
S05	E10	216	yeah, thanks. i'm--i'm just browsing today.	Thank
S04	E10	406	well, i only skip work because you're always telling racist jokes.	Complain
S06	E10	310	jonah's...the most competent.	Praise
S05	E18	106	i just meant he looked like a really good dad.	Praise
S06	E09	597	nice job.	Praise
S04	E16	52	happy easter.	Inform
S04	E01	232	i'm not even allowed to spend more than $12 on lunch	Complain
S05	E07	144	take a bath with the dogs later.	Arrange
S04	E03	186	god, i hate that guy.	Complain
S05	E16	235	yeah, okay, thanks.	Thank
S05	E21	98	sorry.	Apologise
S05	E18	135	yeah, thanks a lot. i...	Thank
S05	E09	272	no! stop whining!	Prevent
S04	E03	180	oh, so anytime a woman tells you what to do, it's shrieking?	Criticize
S05	E17	15	to the nearest dollar for charity.	Arrange
S05	E21	542	because there's so much to think about.	Complain
S05	E10	360	all right, well, um, we have a power outage.	Inform
S05	E06	85	oh, my god, they're so cute when they bicker.	Praise
S04	E03	164	on behalf of store 1217, it is my privilege	Flaunt
S05	E11	550	i feel like we really moved the needle today, guys.	Praise
S04	E01	198	oh. that's cool.	Praise
S06	E06	474	something you'd like to share with the class, turd melon?	Taunt
S04	E06	190	i have a great sense of humor.	Flaunt
S05	E08	555	you look way too happy.	Taunt
S05	E08	492	he just really knows where to kiss soft	Praise
S05	E17	414	okay, don't be mad	Comfort
S05	E06	244	you guys, i am dying right now.	Joke
S05	E18	83	mm-hmm, and his proportions are a dream.	Praise
S05	E06	236	she's my... she's my lady.	Introduce
S05	E11	18	calm down, it's- it's all gonna be fine.	Comfort
S05	E06	455	amy, wait!	Prevent
S05	E12	131	it's kind of shaped like a triangle.	Introduce
S04	E03	282	you think you're so great? your boyish good looks aren't gonna age well. you're hitting a wall, pretty boy	Taunt
S05	E11	398	thank you, so much, dan, for sharing, um, but--	Thank
S04	E08	165	thank you.	Thank
S06	E01	195	so, first off, marcus tested positive for covid after attending a spring break party on the lake.	Inform
S05	E09	46	collect everything on that order	Arrange
S04	E07	418	look, we just want what's going to make you happy	Comfort
S05	E07	429	here, you read these.	Arrange
S06	E10	176	uh, no, glenn would never do anything like.	Oppose
S05	E06	138	look, it's... it's almost done. you don't have to worry.	Comfort
S06	E04	491	you know, i'm sorry.	Apologise
S04	E01	87	thanks for checking in, though!	Thank
S06	E03	613	and i do have an update on the breadsticks.	Inform
S06	E02	115	thanks for keeping this little assistant arrangement going.	Thank
S05	E20	545	hey, glenn, so sorry.	Apologise
S05	E11	273	or maybe there's a slightly less depressing solution, like	Advise
S06	E01	200	okay, um, some good news.	Inform
S05	E17	187	don't you dream about someday having what jerry and i have?	Flaunt
S05	E12	297	what?  no, i meant, like, for the rest of, like, however long this is.	Oppose
S05	E16	368	sorry.	Apologise
S06	E10	424	excuse me. you can't be in here.	Prevent
S06	E03	4	i'm taking over for amy, and--	Inform
S05	E19	90	what--what are you doing here?	Care
S06	E03	455	he's been yelling at people all day like he runs the store.	Criticize
S06	E08	575	but, uh, hey, at least you're getting yourself back out there	Comfort
S05	E17	221	yeah, sure.	Agree
S05	E17	391	oh, that is awesome.	Praise
S05	E09	135	i gotta go.	Leave
S05	E19	160	what's going on? is everything okay?	Care
S06	E02	108	hey, hey, matt- oh, wow!	Greet
S05	E16	223	how's stuff been going with you lately?	Care
S05	E17	413	i don't know why, but he has been trying to tear me down all day today.	Complain
S05	E11	250	oh, oh, glenn, glenn, glenn!	Greet
S05	E16	35	the new policy says that you can have your phones now.	Inform
S06	E07	569	dina assigned me to hang out with you today	Inform
S05	E08	146	they do great work. i'm a fan, really.	Praise
S05	E09	398	'cause i'd like to apologize and offer you all	Apologise
S06	E03	617	i'm sorry jonah.	Apologise
S05	E15	309	you stay right here. i'm gonna be right back.	Leave
S05	E08	428	what is this you're sprinkling?	Care
S05	E16	208	yeah, i'm sorry	Apologise
S04	E16	118	yeah, but i don't know how to play a villain.	Complain
S05	E09	588	how's curbside going?	Care
S05	E16	176	heads up, spill in produce	Inform
S04	E10	59	applying to be a refugee was even worse.	Complain
S05	E16	254	we should warm up by combining body heat.	Advise
S05	E17	170	thank you so much.	Thank
S05	E08	562	um, well, i like when jerry cooks me my favorite meal.	Praise
S05	E09	248	dina, some of these orders are insane.	Complain
S05	E10	292	is there any way that i could get more information?	Ask for help
S05	E13	530	oh, thank you.	Thank
S06	E08	62	sure you're gonna be okay?	Care
S05	E13	455	what the hell? you said you typed 100 words a minute.	Criticize
S06	E03	319	thank you.	Thank
S05	E11	198	you should be very proud of yourself.	Praise
S06	E06	212	i'm so sorry, sandra.	Apologise
S05	E16	538	sorry, that sounded really callous.	Apologise
S05	E15	182	yeah.	Agree
S06	E09	6	i'm sorry, guys.	Apologise
S06	E09	580	thank you.	Thank
S06	E05	177	okay, guys, so this list is to come up with issues that are affecting black customers and employees.	Inform
S05	E08	305	that's great, thank you.	Thank
S05	E19	206	how about carol works with you?	Advise
S06	E01	114	just pick a conditioner and keep moving.	Arrange
S05	E13	529	so your new desk is gonna be here in three days.	Inform
S05	E15	306	the zephra corporate guidelines and look up what it says	Advise
S05	E14	522	everything okay?	Care
S06	E07	3	but don't be intimidated.	Comfort
S05	E20	489	the margs are here.	Inform
S04	E11	194	well, i'd like to think i've matured over the years.	Flaunt
S05	E17	123	sorry.	Apologise
S05	E07	192	that's the third time i've fell for this.	Complain
S05	E09	440	yeah, yeah, you're good. you got this.	Praise
S05	E10	2	that's important- and holiday pay.	Inform
S05	E15	464	i'm going to the chesterfield store	Leave
S04	E03	98	wow. that's a good run.	Praise
S05	E17	48	so glenn, you're gonna be running care packages from the warehouse, or doing that waddle thing you do, whatever works.	Arrange
S06	E08	564	i was giving you amazing advice and you mocked me	Complain
S05	E16	394	maybe we should do another lap around the park?	Advise
S06	E01	341	i mean, i should probably get back to my office	Leave
S04	E07	135	this is who we're visiting.	Introduce
S05	E10	175	cheyenne, let's go.	Leave
S06	E09	537	oh, glenn, should you be drinking that with your diabetes?	Care
S05	E20	416	hey.	Greet
S05	E14	220	has she been acting weird?	Care
S05	E15	36	wait, wait.	Prevent
S05	E17	446	glenn, don't worry about it.	Comfort
S05	E15	74	he's a scam artist.	Inform
S05	E07	400	oh, this news is so great	Praise
S05	E14	337	jonah, what are you doing?	Care
S05	E15	517	we're really sorry.	Apologise
S05	E19	460	we were all really out of line.	Apologise
S04	E08	125	mateo, go take over for sayid.	Arrange
S05	E16	197	it's a meme of indiana jones cracking his whip.	Introduce
S04	E14	484	glenn, you're not going to go to prison, okay?	Comfort
S06	E02	372	can't we just get to california	Advise
S05	E15	289	that's embarrassing.	Complain
S04	E12	380	because he thinks he's better than everyone else here.	Taunt
S05	E07	291	why, so you can steal a quart of our pink soap?	Criticize
S04	E03	354	now, kelly, i want you to tell jonah what you're feeling.	Arrange
S05	E07	81	hey, you busy?	Ask for help
S05	E17	590	it will, amy. i'm gorgeous.	Flaunt
S04	E16	287	he's been spotted in the vicinity.	Inform
S06	E06	45	they're towing it right now.	Inform
S05	E21	16	you're smart, hardworking	Praise
S05	E12	449	let me try this, all right?	Ask for help
S05	E16	15	when you enter the store, so no need to swipe in	Inform
S05	E20	236	turn all the screens in electronics to mtv.	Arrange
S04	E03	275	excuse me, i've got to go stop the love.	Leave
S05	E11	119	you're making too big a deal out of this.	Criticize
S05	E16	216	i mean, i feel kinda bad, but it's too much.	Complain
S04	E17	271	don't read into the word  yet,  no.	Prevent
S06	E04	62	cheyenne, you're still gonna have to stay on top of deliveries. produce comes at 11:00.	Arrange
S05	E15	337	it's--it's kira moon, zephra's ceo.	Introduce
S05	E13	216	okay, buddy, you're being weird.	Taunt
S05	E08	316	it's just one gift card per customer.	Inform
S05	E07	87	i need someone to help me run my shoplifter rehab course.	Ask for help
