acc,f1,prec,rec,eval_f1,dataset,method,text_backbone,seed,logger_name
20.0,17.6,29.28,31.33,0.17600000000000002,MIntRec,misa_a,bert-base-uncased,1,misa_a_MIntRec_multi-class_2025-09-05-13-19-38
86.67,82.45,92.38,84.0,0.8245,MIntRec,misa_t,bert-base-uncased,1,misa_t_MIntRec_multi-class_2025-09-05-13-20-21
90.0,87.94,93.59,88.0,0.8794,MIntRec,misa_ta,bert-base-uncased,1,misa_ta_MIntRec_multi-class_2025-09-05-13-21-27
93.33,93.33,96.92,92.0,0.9333,MIntRec,misa_t_a,bert-base-uncased,1,misa_t_a_MIntRec_multi-class_2025-09-05-13-22-45
90.0,89.7,89.85,90.18,0.897,MIntRec,misa_t_a,bert-base-uncased,1,misa_t_a_MIntRec_multi-class_2025-09-10-18-00-21
90.0,90.72,91.67,90.18,0.9072,MIntRec,misa_t_a,bert-base-uncased,1,misa_t_a_MIntRec_multi-class_2025-09-10-18-02-24
90.0,90.72,91.67,90.18,0.9072,MIntRec,misa_t_a,bert-base-uncased,1,misa_t_a_MIntRec_multi-class_2025-09-10-18-04-45
93.33,93.33,96.92,92.0,0.9333,MIntRec,misa_t_a,bert-base-uncased,1,misa_t_a_MIntRec_multi-class_2025-09-11-08-53-50
20.0,17.6,29.28,31.33,0.17600000000000002,MIntRec,misa_a,bert-base-uncased,1,misa_a_MIntRec_multi-class_2025-09-11-08-56-42
86.67,82.45,92.38,84.0,0.8245,MIntRec,misa_t,bert-base-uncased,1,misa_t_MIntRec_multi-class_2025-09-11-08-57-24
90.0,87.94,93.59,88.0,0.8794,MIntRec,misa_ta,bert-base-uncased,1,misa_ta_MIntRec_multi-class_2025-09-11-08-58-33
93.33,93.33,96.92,92.0,0.9333,MIntRec,misa_t_a,bert-base-uncased,1,misa_t_a_MIntRec_multi-class_2025-09-11-08-59-55
